"noteId","overallSentiment","Mixed","Neutral","Constructive","Appreciative","Negative","Suggestive","Criticism","overallSummary"
"55","Negative","0","0","0","0","100","0","100","The customer is disappointed and would not make a repeat purchase."
"56","Appreciative","0","0","0","100","0","0","0","The user had a great experience and appreciated the top-notch product."
"57","Appreciative","0","0","0","100","0","0","0","The product arrived on time and functions well."
"58","Neutral","0","50","0","0","50","0","0","The quality of the product is considered acceptable, but there is room for improvement."
"59","Appreciative","0","0","0","100","0","0","0","The feedback is positive, with the user expressing satisfaction with the service and the product."
"60","Negative","","","","","100","","100","Users express dissatisfaction with the product's build quality."
"61","Appreciative","0","0","0","100","0","0","0","The feedback is appreciative of the good quality and quick delivery of the product."
"62","Negative","","50","","","50","","","The packaging of the product was poor, but the product itself was acceptable."
"63","Appreciative","0","0","0","100","0","0","0","The feedback is positive and appreciative, with the user expressing satisfaction and recommending the service."
"64","Appreciative","0","0","0","100","0","0","0","The customer is happy with the item's condition."
"65","Negative","0","0","0","0","100","0","100","The feedback expresses disappointment with the service."
"66","Appreciative","0","0","0","100","0","0","0","The user expressed satisfaction with the product and plans to make a repeat purchase."
"67","Mixed","50","0","0","0","50","0","0","The product received mixed feedback, with an average rating, but the service was praised."
"68","Appreciative","0","0","0","100","0","0","0","Customers appreciate the helpfulness of the customer support."
"69","Appreciative","0","0","0","100","0","0","0","The feedback is positive, with users expressing satisfaction with the product quality."
"70","Negative","","","","","100","","100","A customer received a faulty product and had to return it."
"71","Appreciative","0","0","0","100","0","0","0","The customer is satisfied with the item as described."
"72","Mixed","100","0","0","0","50","0","50","The delivery of the product was slow, but the product was considered worth the wait."
"73","Mixed","50","0","0","0","50","0","50","The product received positive feedback, but the packaging was damaged."
"74","Appreciative","0","0","0","100","0","0","0","The service was friendly and efficient."
"75","Negative","0","0","0","0","100","0","0","The quality of the product or service did not meet the expectations of the customers, leading to disappointment."
"76","Appreciative","0","0","0","100","0","0","0","The product met the user's expectations, leading to a positive experience."
"77","Appreciative","0","0","0","100","0","0","0","The user expressed satisfaction with the service and recommended it to others."
"78","Mixed","50","0","0","0","50","0","0","The product received mixed feedback, with users finding it satisfactory but expressing concerns about delivery delays."
"79","Appreciative","0","0","0","100","0","0","0","The feedback is positive, with users expressing satisfaction with their experience and the quality of the product."
"80","Negative","0","0","0","0","100","0","0","The product did not meet users' expectations."
"81","Appreciative",0,0,0,100,0,0,0,"The user is satisfied with the product and service."
"82","Appreciative",0,0,0,100,0,0,0,"The item was delivered on time and works great."
"83","Negative",0,0,0,0,100,0,100,"The feedback expresses disappointment with the quality of a product in relation to its price."
"84","Appreciative",0,0,0,100,0,0,0,"The service was excellent and very responsive."
"85","Neutral",0,100,0,0,0,0,0,"The product was considered average, with no significant positive or negative aspects."
"86","Appreciative",0,0,0,100,0,0,0,"The customer is satisfied with the product and would consider purchasing it again."
"87","Negative",0,0,0,0,100,0,100,"The delivery time is causing dissatisfaction among users."
"88","Appreciative",0,0,0,100,0,0,0,"The product received positive feedback for its high quality."
"89","Negative",,,,,100,,100,"The product did not meet customer expectations, leading to disappointment."
"90","Appreciative",0,0,0,100,0,0,0,"The feedback is positive, highlighting great service and amazing product quality."
"91","Mixed",100,0,0,0,0,0,0,"The quality of the product or service was acceptable, but there is room for improvement."
"92","Appreciative",0,0,0,100,0,0,0,"The customer is happy with their purchase and intends to recommend it."
"93","Negative",,,,,100,,100,"The user is not satisfied with the item's durability as it broke after a few uses."
"94","Appreciative",0,0,0,100,0,0,0,"The user is satisfied with the product and appreciated the fast delivery."
"95","Mixed",100,0,0,0,50,50,0,"The product quality is generally good, but the price is considered high."
"96","Appreciative",0,0,0,100,0,0,0,"The customer appreciated the fast service and good quality."
"97","Neutral",,100,,,,,,"The product is considered average, lacking any remarkable features."
"98","Appreciative",0,0,0,100,0,0,0,"The product received positive feedback for meeting the user's needs."
"99","Negative",0,0,0,0,100,0,0,"The quality of the product is not impressive."
"100","Appreciative",0,0,0,100,0,0,0,"The user is happy with the product and considers it a great purchase."
